createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2020-10-03,3427724427,北川同学,0,7731828332,伤感 | 比悲伤更悲伤的是空欢喜,11341171
2020-04-20,3521089778,墨九,0,7528887735,DJ宣泄向 | 忘掉所有不愉快,8964384
2020-05-11,1152921504753650915,like...,0,7534277656,KTV热门点播，看谁是麦霸,5018311
2020-11-07,1522531377,PC12138,0,7774205706,典藏经典丨一人一首华语金曲大赏,816837
2020-09-26,3371088289,ㅤ✎﹏ζั͡ޓއއއ๓᭄ꦿㅤ,0,7727168567,致失恋｜想起你时还总是会流泪,7816749
2020-08-04,2303204713,蓝莓 Cake,0,7663976060,华语伤感：我们真的回不去从前了,1736286
2020-02-19,1743959209,李呀,0,7434763564,华语怀旧 | 那些我们怀念的岁月,33404926
2020-10-13,3427724427,北川同学,0,7746458142,华语伤感 | 回忆回不去的记忆,2424723
2016-12-13,945187827,念安娜,2,2940304754,王菲：千言万语，不如幻乐一场,12237592
2020-10-09,1249522308,梵高先生,0,7743630978,经典粤语｜追逐时代里的浪潮,2635301
2020-05-10,1873182795,尔听°,0,7558452068,伤感歌单｜好想能够暂时忘记,16868518
2019-10-27,848155951,下次一定,0,6944750120,节奏控 丨 俘获你耳朵的英文歌,17686728
2020-07-19,201864118,芋泥啵啵奶茶,0,7643583752,神仙日语歌｜超治愈，猛女必备,2129251
2020-01-19,2399077390,恋恋风声,0,7380162076,海来阿木 | 一定要为自己写首歌,6407071
2018-08-13,1961769567,墨香,2,2972980860,粤语老歌 │ 重拾港味金曲,11010228
2017-08-10,3440241624,青栀,2,2067204084,「经典」回忆港澳电影粤语原声集,19706446
2020-04-02,2749180238,违规女孩,0,7503734031,周深 | 温柔嗓音，清澈空灵,14862276
2019-12-11,2891427638,远方的琪琪,0,7334544754,遇见韩宝仪后，回忆都是粉红色,621609
2019-12-17,2685406571,综艺live王,0,7337211895,精选live ｜ 请收下这个毛不易,11133750
2017-08-10,1932639570,青春for young,2,874673790,「经典粤语」渐渐被遗忘的金曲,26859343
2020-08-27,584223742,白色大衣,0,7694635551,华语歌迷必备——李宗盛Top20,6070107
2017-02-24,1245280330,花痞,2,857253164,200首华语金曲，你一定在KTV点过这些歌,504486198
2017-01-17,2959134137,柳云歌,2,2945273090,回味经典！品尝岁月里的美酒,14119601
2020-09-18,3364217504,太郎.,0,7719472632,喜欢的歌静静听，喜欢的人静静看,2238642
2018-01-29,498877906,狗贼,0,2661465923,赵雷 · 你的民谣我的生活,2820014
2018-05-01,1433218437,猫九,0,2962708139,王者荣耀 | 峡谷乱杀必备BGM,7867807
2020-06-08,452775188,还不是因为你长得不好看,2,7593461012,《斗罗大陆》原声合集,2582211
2020-08-11,1152921504800972376,婉羽.,0,7627176238,"电竞｜超燃BGM,站在巅峰之颠",752094
2020-08-17,2162294687,清樱°,0,7681560478,【伤感片段】我曾几度的眼眶泛红,5221831
2020-07-26,1152921504842294771,走心了吗,0,7652168005,『戏腔』红妆已淡，戏涯已了,7047455
2020-02-27,3269668970,绪井奈奈未,2,7447915112,第34届日本金唱片大赏,241558
2019-11-08,259249381,叶洛洛,7,7289611354,快手老铁们都在听什么？,11410442
2020-06-10,3054828396,ㅤ,0,7233029979,粤语流行・90后的独家记忆,13775731
2020-10-30,3244932711,将离,0,7574442026,伤感丨偶尔需要 从未重要,1327428
2020-06-23,1152921505006098974,上善若水,0,7611863737,古风 | 星辰坠落大海不及你,16103493
